Year	Shotguns	Rifles	Handguns	Total
1986	201000	269000	231000	701000
1987	307620	413780	342113	1063513
1988	372008	282640	621620	1276268
1989	274497	293152	440132	1007781
1990	191787	203505	448517	843809
1991	116141	311285	293231	720657
1992	441933	1423189	981588	2846710
1993	246114	1592522	1204685	3043321
1994	117866	847868	915168	1880902
1995	136126	261185	706093	1103404
1996	128456	262568	490554	881578
1997	106296	358937	474182	939415
1998	219387	248742	531681	999810
1999	385556	198191	308052	891799
2000	331985	298894	465903	1096782
2001	428330	227608	710958	1366896
2002	379755	507637	741845	1629237
2003	407402	428837	630263	1466502
2004	507050	564953	838856	1910859
2005	546403	682100	878172	2106675
2006	606820	659393	1166309	2432522
2007	725752	631781	1386460	2743993
2008	535960	602364	1468062	2606386
2009	558679	864010	2184417	3607106
2010	509913	547449	1782585	2839947
2011	529056	998072	1725276	3252404
