Fiscal Year	Occupational Tax Paid	Transfer and Making Tax Paid	Enforcement Support Certifications	Enforcement Support Records Checks
1979	…	500000	3559	…
1980	…	716000	4377	…
1981	268000	611000	1482	3627
1982	391000	723000	1306	2841
1983	591000	594000	4335	…
1984	596000	666000	1196	2771
1985	606000	594000	921	3682
1986	667000	1372000	690	3376
1987	869000	1576000	575	4135
1988	2095000	1481000	701	3738
1989	1560000	1527000	1196	6128
1990	1442000	1308000	666	7981
1991	1556000	1210000	764	7857
1992	1499000	1237000	1257	8582
1993	1493000	1264000	1024	7230
1994	1444000	1596000	586	6283
1995	1007000	1311000	882	5677
1996	1143000	1402000	529	5215
1997	1284000	1630000	488	4395
1998	1299000	1969000	353	3824
1999	1330000	2422000	345	3994
2000	1399000	2301000	144	2159
2001	1456000	2800000	402	5156
2002	1492000	1510000	441	6381
2003	1758000	2699000	401	6597
2004	1640000	3052000	435	6191
2005	1659000	2810000	447	6218
2006	1709000	3951000	327	6331
2007	1815000	4890000	530	7468
2008	1950000	5742000	375	5872
2009	2125000	7971000	418	5736
2010	2530000	7184000	267	5883
2011	2952000	9576000	287	6313
