State,FFL Population
Texas,"8,912"
California,"7,535"
Florida,"6,374"
Missouri,"5,990"
Pennsylvania,"5,649"
Ohio,"4,446"
Illinois,"4,349"
Michigan,"4,055"
North Carolina,"3,966"
Virginia,"3,813"
New York,"3,774"
Georgia,"3,362"
Massachusetts,"3,290"
Tennessee,"3,086"
Wisconsin,"2,830"
Arizona,"2,723"
Indiana,"2,667"
Minnesota,"2,639"
Washington,"2,529"
Maryland,"2,495"
Oregon,"2,376"
Colorado,"2,361"
Kentucky,"2,241"
Oklahoma,"2,189"
Alabama,"2,103"
Louisiana,"1,931"
Iowa,"1,916"
South Carolina,"1,899"
Arkansas,"1,812"
Kansas,"1,759"
Connecticut,"1,643"
Montana,"1,423"
Mississippi,"1,362"
West Virginia,"1,337"
Idaho,"1,283"
Nevada,"1,188"
Nebraska,"1,085"
Utah,"1,071"
New Mexico,"1,026"
New Hampshire,"1,018"
Alaska,997
Maine,861
Wyoming,770
South Dakota,691
North Dakota,611
Vermont,538
New Jersey,481
Rhode Island,452
Delaware,314
Hawaii,254
District of Columbia,27
