State	FFL Population
Texas	8912
California	7535
Florida	6374
Missouri	5990
Pennsylvania	5649
Ohio	4446
Illinois	4349
Michigan	4055
North Carolina	3966
Virginia	3813
New York	3774
Georgia	3362
Massachusetts	3290
Tennessee	3086
Wisconsin	2830
Arizona	2723
Indiana	2667
Minnesota	2639
Washington	2529
Maryland	2495
Oregon	2376
Colorado	2361
Kentucky	2241
Oklahoma	2189
Alabama	2103
Louisiana	1931
Iowa	1916
South Carolina	1899
Arkansas	1812
Kansas	1759
Connecticut	1643
Montana	1423
Mississippi	1362
West Virginia	1337
Idaho	1283
Nevada	1188
Nebraska	1085
Utah	1071
New Mexico	1026
New Hampshire	1018
Alaska	997
Maine	861
Wyoming	770
South Dakota	691
North Dakota	611
Vermont	538
New Jersey	481
Rhode Island	452
Delaware	314
Hawaii	254
District of Columbia	27
