Fiscal Year	Processed	Denied	Withdrawn	Abandoned
1975	29183	150	1651	…
1976	29511	209	2077	...
1977	32560	216	1645	...
1978	29531	151	1015	414
1979	32678	124	432	433
1980	36052	96	601	661
1981	41798	85	742	329
1982	44745	52	580	370
1983	49669	151	916	649
1984	39321	98	706	833
1985	37385	103	666	598
1986	42842	299	698	452
1987	36835	121	874	458
1988	32724	30	506	315
1989	34318	34	561	360
1990	34336	46	893	404
1991	34567	37	1059	685
1992	37085	57	1337	611
1993	41545	343	6030	1844
1994	25393	136	4480	3917
1995	7777	49	1046	1180
1996	8461	58	1061	629
1997	7039	24	692	366
1998	7090	19	621	352
1999	8581	23	48	298
2000	10698	6	447	91
2001	11161	3	403	114
2002	16100	13	468	175
2003	13884	30	729	289
2004	12953	18	572	235
2005	13326	33	943	300
2006	13757	35	898	234
2007	14123	32	953	402
2008	15434	21	1030	291
2009	16105	20	1415	724
2010	16930	32	1467	380
2011	19923	22	1744	369
