fips,state,population,Any Other Weapon,Destructive Device,Machinegun,Silencer,Short Barreled Rifle,Short Barreled Shotgun,Total Registrations,Importers,Manufacturers,Dealers,Total Taxpayers,FFL Population,Stand Your Ground,Any Castle Doctrine Expansion,Stand Your Ground Law Effective Date,NICS checks 2010
1,Alabama,4785401,"1,133","47,421","15,653","8,550","1,327","2,075","76,159",12,28,43,83,"2,103",1,1,6/1/2006,"308,607"
2,Alaska,714146,311,"3,317","1,617","2,085",508,"1,101","8,939",0,10,25,35,997,0,1,9/13/2006,"65,909"
4,Arizona,6413158,"1,080","67,185","16,879","15,860","5,492","1,851","108,347",14,140,121,275,"2,723",1,1,4/24/2006,"206,050"
5,Arkansas,2921588,591,"41,962","4,827","7,218","1,091","1,017","56,706",8,35,38,81,"1,812",0,0,,"191,448"
6,California,37338198,"3,698","212,800","28,774","7,303","3,738","12,166","268,479",9,45,68,122,"7,535",0,0,,"816,399"
8,Colorado,5047692,910,"37,444","6,040","6,475","2,217","1,389","54,475",1,33,52,86,"2,361",0,0,,"300,820"
9,Connecticut,3575498,643,"9,886","22,023","5,170","1,068",960,"39,750",7,43,33,83,"1,643",0,0,,"179,595"
10,Delaware,899792,32,"2,183",569,302,94,507,"3,687",0,1,2,3,314,0,0,,"19,240"
11,District of Columbia,604912,69,"34,841","4,278",160,440,"1,048","40,836",0,0,1,1,27,0,0,,349
12,Florida,18838613,"3,113","101,418","29,128","28,312","7,432","6,125","175,528",28,136,215,379,"6,374",1,1,10/1/2005,"559,347"
13,Georgia,9712157,"1,759","48,026","22,081","29,259","3,563","9,422","114,110",11,65,99,175,"3,362",1,1,7/1/2006,"333,247"
15,Hawaii,1363359,34,"5,503",429,105,55,59,"6,185",0,0,2,2,254,0,0,,"10,533"
16,Idaho,1571102,588,"14,049","4,342","9,839","1,103",398,"30,319",0,57,30,87,"1,283",0,1,7/1/2006,"92,031"
17,Illinois,12841980,958,"83,363","24,651","1,071","1,214","1,674","112,931",8,36,41,85,"4,349",0,1,7/28/2004,"695,300"
18,Indiana,6490622,"1,430","34,628","17,019","16,735","2,343","8,581","80,736",2,37,69,108,"2,667",1,1,7/1/2006,"345,650"
19,Iowa,3050202,876,"11,737","3,262",301,343,936,"17,455",1,13,11,25,"1,916",0,0,,"124,738"
20,Kansas,2859143,674,"19,379","3,289","2,266","1,095",850,"27,553",3,16,47,66,"1,759",1,1,7/1/2006,"144,156"
21,Kentucky,4347223,"1,019","22,239","10,703","12,046","1,379","1,638","49,024",8,30,54,92,"2,241",1,1,7/12/2006,"2,385,579"
23,Maine,1327379,570,"2,517","4,664","1,290","1,420",410,"10,871",1,17,18,36,861,0,0,,"65,988"
24,Maryland,5785681,933,"45,037","23,709","7,024","1,713","3,771","82,187",6,33,41,80,"2,495",0,0,,"88,162"
25,Massachusetts,6555466,837,"12,878","6,555","3,679","1,315",887,"26,151",3,44,23,70,"3,290",0,0,,"115,904"
26,Michigan,9877143,"1,061","21,221","9,090","2,887",700,"1,121","36,080",7,32,64,103,"4,055",1,1,10/1/2006,"348,200"
