fips,state,population
0,United States,309330219
0,Northeast Region,55366108
0,Midwest Region,66976458
0,South Region,114857529
0,West Region,72130124
1,Alabama,4785401
2,Alaska,714146
4,Arizona,6413158
5,Arkansas,2921588
6,California,37338198
8,Colorado,5047692
9,Connecticut,3575498
10,Delaware,899792
11,District of Columbia,604912
12,Florida,18838613
13,Georgia,9712157
15,Hawaii,1363359
16,Idaho,1571102
17,Illinois,12841980
18,Indiana,6490622
19,Iowa,3050202
20,Kansas,2859143
21,Kentucky,4347223
22,Louisiana,4545343
23,Maine,1327379
24,Maryland,5785681
25,Massachusetts,6555466
26,Michigan,9877143
27,Minnesota,5310658
28,Mississippi,2970072
29,Missouri,5995715
30,Montana,990958
31,Nebraska,1830141
32,Nevada,2704283
33,New Hampshire,1316807
34,New Jersey,8799593
35,New Mexico,2065913
36,New York,19395206
37,North Carolina,9560234
38,North Dakota,674629
39,Ohio,11537968
40,Oklahoma,3760184
41,Oregon,3838332
42,Pennsylvania,12717722
44,Rhode Island,1052528
45,South Carolina,4637106
46,South Dakota,816598
47,Tennessee,6357436
48,Texas,25253466
49,Utah,2775479
50,Vermont,625909
51,Virginia,8023953
53,Washington,6742950
54,West Virginia,1854368
55,Wisconsin,5691659
56,Wyoming,564554
72,Puerto Rico Commonwealth,3721978
