State,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alabama,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Alaska,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted
Arizona,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Unrestricted,Unrestricted
Arkansas,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
California ,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue
Colorado,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Conneticut,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Delaware,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue
District of Columbia,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue
Florida,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Georgia,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Hawaii,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue
Idaho,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Illinois,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue
Indiana,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Iowa,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue
Kansas,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Kentucky,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Louisiana,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Maine,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Maryland,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue
Massechusetts,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue
Michigan,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Minnesota,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Mississippi,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Missouri,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Montana,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Nebraska,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Nevada,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
New Hampshire,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
New Jersey,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue
New Mexico,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
New York,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue
