State,Stand Your Ground,Any Castle Doctrine Expansion,Stand Your Ground Law Effective Date
Alabama,1,1,6/1/2006
Alaska,0,1,9/13/2006
Arizona,1,1,4/24/2006
Arkansas,0,0,
California,0,0,
Colorado,0,0,
Connecticut,0,0,
Delaware,0,0,
District of Columbia,0,0,
Florida,1,1,10/1/2005
Georgia,1,1,7/1/2006
Hawaii,0,0,
Idaho,0,1,7/1/2006
Illinois,0,1,7/28/2004
Indiana,1,1,7/1/2006
Iowa,0,0,
Kansas,1,1,7/1/2006
Kentucky,1,1,7/12/2006
Louisiana,1,1,8/15/2006
Maine,0,0,
Maryland,0,0,
Massachusetts,0,0,
Michigan,1,1,10/1/2006
Minnesota,0,0,
Mississippi,1,1,7/1/2006
Missouri,0,1,8/28/2007
Montana,1,1,4/27/2009
Nebraska,0,0,
Nevada,0,0,
New Hampshire,1,1,11/13/2011
New Jersey,0,0,
New Mexico,0,0,
New York,0,0,
North Carolina,0,0,
North Dakota,0,1,8/1/2007
Ohio,0,1,9/9/2008
Oklahoma,1,1,11/1/2006
Oregon,0,0,
Pennsylvania,0,0,
Rhode Island,0,0,
South Carolina,1,1,6/9/2006
South Dakota,1,1,7/1/2006
Tennessee,1,1,5/22/2007
Texas,1,1,9/1/2007
Utah,1,1,3/2/1994
Vermont,0,0,
Virginia,0,0,
Washington,0,0,
West Virginia,1,1,2/28/2008
Wisconsin,0,0,
Wyoming,0,1,7/1/2008
